Region,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Beijing,,797.5,1011.2,975.1,924.8,872.6,790.3,733.8,671.7,648.3,634.4,633,656.1,656.6,600.9,538.2,454.6,491,,
Tianjin,,306.5,300.2,294.8,306.9,269,240.7,215.9,200,185.8,189.9,183.7,188.4,173.8,165,155.2,144.8,181.6,,
Hebei,,786.2,802.2,755.7,699.6,725.2,635.9,614.1,585.3,577.4,584.6,589.3,678.1,662.8,686.5,678.2,680.1,741,,
Shanxi,,460.7,500.4,478.9,479.1,469.4,447,445,394.6,392.4,420,361.2,374.6,354.1,365.1,468.6,619.7,592.4,,
Inner Mongolia,,387.7,394.5,349.3,369.2,345.3,329.1,324.6,350.1,385.9,340,334,366.5,358.1,349.9,331.2,329,329.2,,
Liaoning,,993.3,985.4,872.2,864.5,933.1,933.2,917.1,927.1,929.9,876,837.3,813.3,796.7,771.4,755.5,768,778.8,,
Jilin,,464.2,483.1,470.6,495,534.1,490.3,504.6,485.4,508.6,493,499.4,521.3,563.6,568.2,558,580.4,571.8,,
Heilongjiang,,497.6,523.6,524.9,553.2,541.9,523,553.4,581.9,710,796.6,782.4,912.4,898.6,963.2,1006.2,1125.8,1059.7,,
Shanghai,,868.1,750.6,784.7,743.1,629.4,613.2,608.4,735,716,704,732,710,676,690.7,658.3,622.3,609.7,,
Jiangsu,,1870.5,1809.6,1718,1734.7,1562.3,1456.1,1352.4,1202.7,1210.1,1119.8,1017.1,957.3,934.5,898.4,851.3,834.8,817.7,,
Zhejiang,,1444.9,1530.2,1474.6,1454.6,1433.5,1332.6,1229.1,1123.3,1055,1018.1,959,925.6,806.8,772,687.7,762.5,705.2,,
Anhui,,660.7,646.1,612,612.2,540,491.9,464.8,455.9,442.1,435.1,435.3,432.8,426.9,400.2,405,476.6,466.8,,
Fujian,,878.5,967.1,874.9,786.4,657,608.1,598.9,551.8,493.8,433.5,417.3,392.4,399,376.1,318.4,303,290.5,,
Jiangxi,,527.5,542.6,448.8,451.5,399.5,329.3,308.5,339,327.2,306.6,284,280.8,249.2,252.2,274.5,264.4,258.7,,
Shandong,,1673.9,1786.8,1700.8,1591.3,1466.3,1377.5,958.5,1007.4,1062.4,959.5,992,958.4,991.4,945,963.3,1046.5,1242.8,,
Henan,,1130.2,1134.6,1019.6,985.6,915.4,891.8,832.8,805.6,795.8,729.5,694.6,679.5,757,737.5,722.6,756.7,681.5,,
Hubei,,987.4,980,954.2,908,880.1,832.2,739.3,745.8,716.6,736.3,711.1,680.6,680.8,673.2,695.4,885.2,891.3,,
Hunan,,797.1,775.4,824.5,764.9,681.6,638.2,600.8,616.8,565.4,531.6,505.2,511.9,542.8,511.2,510,486,488.9,,
Guangdong,,3102.5,3347.3,3035.4,2644.5,2391,2320.4,2214.2,2092.1,2136.9,1978.8,1938.6,1960.6,1868.4,1833.8,1648.2,1722.6,1561.5,,
Guangxi,,519.6,497.7,466.5,438.3,411.2,385.5,338.9,302.3,266.2,255.8,245.1,240.2,248.5,246.4,220.6,204.7,228.7,,
Hainan,,253.6,256.5,222.4,213.1,188.7,160.1,144.2,125.3,110.2,113.6,97.7,88.7,84.8,87.8,50.9,81.2,82.2,,
Chongqing,,628.5,601.8,549.2,529.7,494.1,440,399.4,349.8,335.3,281.6,256.7,224.3,225.2,200.5,243.9,237.6,237.2,,
Sichuan,,1136.6,1168.6,1013.1,989.9,886.7,823.6,780,750.7,702.8,669,656,590.1,551,548.5,527.1,600.7,579.9,,
Guizhou,,358.5,364.6,338.5,323.5,294,268.3,273.8,248.4,235.7,218.3,213.3,209.1,190.5,183.9,181.1,176.5,202.5,,
Yunnan,,487.5,455.9,435.8,409.1,432.1,371,349.5,324.1,306.7,300.2,265.5,282.1,283.7,256.6,218.3,205.7,200.1,,
Tibet,,62.3,64.7,53.9,46.5,46.1,32.9,30.8,24.1,25.6,17.3,16.3,22.9,23,21.9,150,44.5,38,,
Shaanxi,,550,634,650.2,379.2,532.8,522.7,517.9,437.3,433.1,428.3,388.3,356.2,319.7,333.6,290,370.7,350.2,,
Gansu,,272.6,279.7,281.2,254.6,257.2,262.7,253,272.8,270.5,276.2,278.3,263.6,262.4,259.9,269.2,297.8,292.1,,
Qinghai,,116.2,109.4,113.5,77.7,82,82.2,77.6,74.1,66.3,83.1,86.3,87.4,63.6,64.7,59.8,54.4,57.7,,
Ningxia,,126.8,130.5,117.7,119,112.2,132.2,118.4,106,116.2,120.5,91.9,70.4,95.7,110,97.3,96.4,135.3,,
Xinjiang,,364.2,371.9,390.7,371.4,378.7,380,360.6,352.3,352.7,344.5,303.3,298.2,292.6,340.2,307.2,343.6,345.3,,
